,Season,Position,Club,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points
0,2020/21,1,Manchester City,38,27,5,6,83,32,51,86
1,2020/21,2,Manchester United,38,21,11,6,73,44,29,74
2,2020/21,3,Liverpool,38,20,9,9,68,42,26,69
3,2020/21,4,Chelsea,38,19,10,9,58,36,22,67
4,2020/21,5,Leicester City,38,20,6,12,68,50,18,66
5,2020/21,6,West Ham United,38,19,8,11,62,47,15,65
6,2020/21,7,Tottenham Hotspur,38,18,8,12,68,45,23,62
7,2020/21,8,Arsenal,38,18,7,13,55,39,16,61
8,2020/21,9,Leeds United,38,18,5,15,62,54,8,59
9,2020/21,10,Everton,38,17,8,13,47,48,-1,59
10,2020/21,11,Aston Villa,38,16,7,15,55,46,9,55
11,2020/21,12,Newcastle United,38,12,9,17,46,62,-16,45
12,2020/21,13,Wolverhampton Wanderers,38,12,9,17,36,52,-16,45
13,2020/21,14,Crystal Palace,38,12,8,18,41,66,-25,44
14,2020/21,15,Southampton,38,12,7,19,47,68,-21,43
15,2020/21,16,Brighton and Hove Albion,38,9,14,15,40,46,-6,41
16,2020/21,17,Burnley,38,10,9,19,33,55,-22,39
17,2020/21,18,Fulham,38,5,13,20,27,53,-26,28
18,2020/21,19,West Bromwich Albion,38,5,11,22,35,76,-41,26
19,2020/21,20,Sheffield United,38,7,2,29,20,63,-43,23
20,2019/20,1,Liverpool,38,32,3,3,85,33,52,99
21,2019/20,2,Manchester City,38,26,3,9,102,35,67,81
22,2019/20,3,Manchester United,38,18,12,8,66,36,30,66
23,2019/20,4,Chelsea,38,20,6,12,69,54,15,66
24,2019/20,5,Leicester City,38,18,8,12,67,41,26,62
25,2019/20,6,Tottenham Hotspur,38,16,11,11,61,47,14,59
26,2019/20,7,Wolverhampton Wanderers,38,15,14,9,51,40,11,59
27,2019/20,8,Arsenal,38,14,14,10,56,48,8,56
28,2019/20,9,Sheffield United,38,14,12,12,39,39,0,54
29,2019/20,10,Burnley,38,15,9,14,43,50,-7,54
30,2019/20,11,Southampton,38,15,7,16,51,60,-9,52
31,2019/20,12,Everton,38,13,10,15,44,56,-12,49
32,2019/20,13,Newcastle United,38,11,11,16,38,58,-20,44
33,2019/20,14,Crystal Palace,38,11,10,17,31,50,-19,43
34,2019/20,15,Brighton and Hove Albion,38,9,14,15,39,54,-15,41
35,2019/20,16,West Ham United,38,10,9,19,49,62,-13,39
36,2019/20,17,Aston Villa,38,9,8,21,41,67,-26,35
37,2019/20,18,Bournemouth,38,9,7,22,40,65,-25,34
38,2019/20,19,Watford,38,8,10,20,36,64,-28,34
39,2019/20,20,Norwich City,38,5,6,27,26,75,-49,21
40,2018/19,1,Manchester City,38,32,2,4,95,23,72,98
41,2018/19,2,Liverpool,38,30,7,1,89,22,67,97
42,2018/19,3,Chelsea,38,21,9,8,63,39,24,72
43,2018/19,4,Tottenham Hotspur,38,23,2,13,67,39,28,71
44,2018/19,5,Arsenal,38,21,7,10,73,51,22,70
45,2018/19,6,Manchester United,38,19,9,10,65,54,11,66
46,2018/19,7,Wolverhampton Wanderers,38,16,9,13,47,46,1,57
47,2018/19,8,Everton,38,15,9,14,54,46,8,54
48,2018/19,9,Leicester City,38,15,7,16,51,48,3,52
49,2018/19,10,West Ham United,38,15,7,16,52,55,-3,52
50,2018/19,11,Watford,38,14,8,16,52,59,-7,50
51,2018/19,12,Crystal Palace,38,14,7,17,51,53,-2,49
52,2018/19,13,Newcastle United,38,12,9,17,42,48,-6,45
53,2018/19,14,Bournemouth,38,13,6,19,56,70,-14,45
54,2018/19,15,Burnley,38,11,7,20,45,68,-23,40
55,2018/19,16,Southampton,38,9,12,17,45,65,-20,39
56,2018/19,17,Brighton and Hove Albion,38,9,9,20,35,60,-25,36
57,2018/19,18,Cardiff City,38,10,4,24,34,69,-35,34
58,2018/19,19,Fulham,38,7,5,26,34,81,-47,26
59,2018/19,20,Huddersfield Town,38,3,7,28,22,76,-54,16
